en,es
I'll call you tomorrow.,Mañana te llamo.
Do you feel sick?,¿Te sientes enfermo?
Do you think I'm stubborn?,¿Tú me consideras terco?
Help me stand up.,Ayúdame a ponerme de pie.
Drink less and sleep more.,Bebe menos y duerme más.
You think too much.,Piensa demasiado.
They talked about culture.,Hablaron de cultura.
Don't you know that you are the laughingstock of the whole town?,"¿Qué, no sabes que eres el hazmerreír de toda la villa?"
He ruined his health by working too much.,Se arruinó la salud por trabajar demasiado.
What is your emergency?,¿Cuál es su emergencia?
Tom is able to walk on his hands.,Tom es capaz de andar con las manos.
Tom waved at Mary.,Tom saludaba con la mano a Mary.
Tom's hungry.,Tom tiene hambre.
"Can you excuse me, please?","¿Me disculpan, por favor?"
Tom is moving back in with us.,Tom se mudará de vuelta con nosotros.
I didn't have lunch.,No almorcé.
You did what had to be done.,Hiciste lo que se tenía que hacer.
The time will come when you will understand this.,Llegará un momento en que lo entenderás.
I would never wear a hat that looked like that.,Nunca usaría un sombrero como ese.
He was never officially charged with spying.,Él nunca fue acusado oficialmente por espionaje.
Shall we go?,¿Nos vamos?
Tom scolded Mary for not arriving on time.,Tom regañó a Mary por no llegar a tiempo.
They have English lessons three times a week.,Ellos tienen clases de inglés tres veces a la semana.
I'll leave my number in case you want to call me.,Te dejo mi número de teléfono por si quieres llamarme.
Keep it on you.,Consérvalo contigo.
One of the kittens caught a moth.,Uno de los gatitos capturó una polilla.
Where's the money?,¿Dónde está el dinero?
The job is practically done.,El trabajo está casi listo.
Do you know how beautiful you are?,¿Sabes lo hermosa que eres?
"If a nuclear war were to break out, mankind would perish.","Si una guerra nuclear se desatara, la humanidad perecería."
We have a bigger problem now.,Ahora tenemos un problema más grande.
It makes my mouth water.,Se me hace agua la boca.
The tickets sold out within a week.,Los boletos se agotaron en menos de una semana.
I still remember when I came to this city for the first time.,Aún recuerdo cuando llegué a esta ciudad por primera vez.
Tom just doesn't understand what's going on.,Es solo que Tom no entiende lo que está pasando.
I can't sign in.,No puedo ingresar.
I must get it fixed.,Tengo que arreglarlo.
"The Senate accepted the treaty, and Polk signed it.","El senado aceptó el tratado, y Polk lo firmó."
Will you light the fire?,¿Quiere encender el fuego?
The room was hot.,Hacía calor en la habitación.
I'm not in a position to give you any advice.,No estoy en grado de darte consejos.
Tom asked Mary to cut his hair.,Tom le pidió a María que le cortara el cabello.
Tom has two choices.,Tom tiene dos opciones.
I think that Tom wants to come with us.,Creo que Tom quiere venir con nosotros.
It isn't broken.,No está roto.
Tom says this is absurd.,Tomás dice que es absurdo.
Don't be afraid to ask questions.,No tengas miedo de hacer preguntas.
I feel a little responsible.,Me siento un poco responsable
We're all in agreement.,Estamos todos de acuerdo.
"He was unsure how he would get there, and when.",Él no tenía claro cómo llegaría allí y cuándo.
He painted a picture of roses.,Él pintó una imagen de rosas.
It was an ambush.,Era una emboscada.
This is for Tom.,Esto es para Tom.
Are you in a rush?,¿Tenéis mucha prisa?
I'm a little hungry.,Tengo un poco de hambre.
I go shopping every morning.,Todas las mañanas voy de compras.
I can't imagine living like that.,No puedo imaginarme viviendo así.
"Tom can swim, but I can't.","Tom puede nadar, pero yo no."
I am not older than he is.,No soy mayor que él.
Tom arrived this morning.,Tom llegó esta mañana.
Tom hopes that he doesn't get deported.,Tom espera que no le deporten.
Make yourself at home.,Sentite como en casa.
I asked her to dance.,La saqué a bailar.
She acted as if she knew nothing.,Ella hizo como si no supiera nada.
Tom wants to speak with you.,Tom quiere hablar con vosotros.
It only took us fifteen minutes to complete the job.,Sólo nos llevó quince minutos completar la labor.
I want a refund.,Quiero una devolución.
Tom is a practical man.,Tom es práctico.
Children should drink milk every day.,Los niños deberían tomar leche todos los días.
Tom paid the bill.,Tom pagó la cuenta.
I didn't quite make out what he said.,No he entendido muy bien lo que él ha dicho.
Let's take a rest for a while.,Descansemos un rato.
You're fine.,Tú estás bien.
It is strange that he has not come yet.,Es raro que él no haya venido aún.
The train was ten minutes behind time because of heavy snow.,A causa de la gran nevada el tren se retrasó diez minutos.
Almost all of the staff left.,Se fue casi todo el personal.
I smile every time I see her.,Yo sonrío cada vez que la veo.
What does Tom know about me?,¿Qué sabe Tom sobre mí?
I think it's the best option.,Creo que es la mejor opción.
Let's postpone dinner.,Pospongamos la cena.
Shouldn't you be studying?,¿No deberías estudiar?
I'll give you a ride.,Te llevo.
We've had a lot of fun.,Nos hemos divertido mucho.
Tom ordered a bottle of wine.,Tom ordenó una botella de vino.
Can you tell me why Tom is doing that?,¿Puede decirme por qué Tom está haciendo eso?
"We have two dogs, three cats, and six chickens.","Tenemos dos perros, tres gatos y seis pollos."
I hope you feel better tomorrow.,Espero que mañana te sientas mejor.
Where is your new tablecloth?,¿Dónde está tu mantel nuevo?
She spoke to him about the matter.,Ella le habló acerca de ese asunto.
Make up your mind.,Decídete.
Who wants to go next?,¿Quién quiere ir luego?
I am sure of success.,Estoy seguro de triunfar.
Please write what you said.,"Escriba, por favor, lo que dijo."
I don't think I have much choice.,No creo que tenga alternativa.
I was not drunk.,No estaba borracho.
Which are Tom's?,¿Cuáles son de Tom?
Tom was in trouble financially.,Tom tenía dificultades financieras.
They're not mine.,No son míos.
Will we get there before the end of the movie?,¿Llegaremos antes del final de la película?
There were many things that we needed to do to prepare for our trip.,Había muchas cosas que teníamos que hacer para preparar nuestro viaje.
Clean out the shed and throw away things you don't need.,Limpiá el galpón y tirá las cosas que no necesitás.
Unfortunately it will be impossible for us to accept your proposal.,"Lamentablemente, será imposible para nosotros aceptar tu propuesta."
Please try again.,"Por favor, inténtalo otra vez."
"She's really smart, isn't she?","Es realmente inteligente, ¿verdad?"
He made a speech in English at the meeting.,Él dio un discurso en inglés en la reunión.
The kids are picking flowers in the garden.,Los niños están recogiendo flores en el jardín.
A committee of congressmen has arrived.,Ha llegado una comisión de diputados.
Am I just being paranoid?,¿Es paranoia mía?
He ran at full speed.,Él corrió a toda velocidad
We're in agreement.,Estamos de acuerdo.
He was so mad that he forgot to eat dinner.,Él estaba tan enfadado que se olvidó de cenar.
"I have problems with my wife, too.",También tengo problemas con mi esposa.
Our fridge is broken.,Nuestro refri está descompuesto.
"As a result, prices rose.",Los precios se alzaron como resultado.
Ms. Takada accused the boy of copying another student's homework.,La Sra. Takada acusó al muchacho de copiar la tarea de otro estudiante.
I thought you were right.,Yo creía que tenías razón.
Tom wanted to confront Mary.,Tom quería confrontar a Mary.
Is everybody ready for the trip?,¿Todas están listas para el viaje?
I don't know how old I am.,No sé qué edad tengo.
Tom asked Mary the one question she really didn't want to answer.,Tom le hizo a María la única pregunta que realmente no quería contestar.
I can't figure out how to transfer MP3 files to my iPod.,No puedo averiguar cómo transferir archivos MP3 a mi iPod.
Can you watch my dog while I'm away?,¿Puedes cuidar a mi perro mientras no estoy?
"Italy, Romania, Portugal, and Greece joined the Allies.","Italia, Rumania, Portugal y Grecia se unieron a los Aliados."
He was forced to return to Washington.,Él se vio obligado a volver a Washington.
Did you have dreams?,¿Soñaste?
"Why did you do that? ""Because I felt like it.""","¿Por qué hiciste eso? ""Porque me dio la gana."""
His house is somewhere about here.,Su casa está aquí en algún lugar.
"Tom picked up a book, opened it, and started reading it.","Tom cogió un libro, lo abrió y lo empezó a leer."
Who will you give the book to?,¿A quién le darás el libro?
Tom isn't here at the moment.,Tom no está aquí en este momento.
Where are my socks?,¿Dónde están mis calcetines?
I've already done it.,Ya lo hice.
You're tired.,Estás cansada.
Tom came in carrying something.,Tom llegó acarreando algo.
Tom will be able to swim soon.,Tom podrá nadar pronto.
I know it's not Tom's fault.,Sé que no es culpa de Tom.
"In this case, the adjective goes before the noun.",En este caso el adjetivo va antes del nombre.
Those things happen often.,Esas cosas ocurren mucho.
I have already finished reading this book.,Ya he terminado de leer este libro.
I'm sorry. I know I shouldn't have done that.,Lo siento. Sé que no debería haber hecho eso.
It's not something that interests me.,No es algo que me interese.
Tom is alone again.,Tom vuelve a estar solo.
Tom almost always takes a bath before dinner.,Tom casi siempre se baña antes de cenar.
Tom saw a squirrel in the distance.,Tom vio una ardilla a lo lejos.
Those are nice.,Ésas están bien.
The arrow missed its target.,La flecha falló su objetivo.
What do you think of her attitude?,¿Qué piensas de su actitud?
"If you don't want to go, you don't have to.",No tienes que ir si no quieres.
I dreamed I was eating an apple pie.,Soñé que me comía una torta de manzana.
Look after them.,Cuídalos.
Tom didn't sneeze.,Tom no estornudó.
There were no more free seats.,No quedaban más asientos libres.
I'd like to learn how to play the banjo.,Quisiera aprender a tocar el banjo.
Tom won't be able to become a policeman.,Tom no podrá convertirse en policía.
This is exactly what I've been looking for.,Esto es exactamente lo que estaba buscando.
It'll take some time to shovel all the snow off the roof.,Me tomará algún tiempo quitar con la pala toda la nieve del tejado.
Now try to sleep.,Ahora intentad dormir.
He gave up cigarettes.,Él dejó el cigarro.
It's hard to tell you from your brother.,Es difícil distinguirte de tu hermano.
Tom dropped Mary off in front of John's.,Tom dejó a Mary delante de la casa de John.
